networkDomainId,name,action,protocol,source.ip.address,destination.ip.address,destination.port.begin,enabled,id,datacenterId,ruleType
3fce94ce-7237-494b-abeb-0bb8dbfc37a9,CCDEFAULT.BlockOutboundMailIPv4,DROP,TCP,ANY,ANY,25,true,6ded9064-ffeb-4c8a-8cd9-e9cd95bfaa92,NA9,DEFAULT_RULE
3fce94ce-7237-494b-abeb-0bb8dbfc37a9,CCDEFAULT.BlockOutboundMailIPv4Secure,DROP,TCP,ANY,ANY,587,true,f2423c1d-e76a-42da-ade1-684818e71828,NA9,DEFAULT_RULE
3fce94ce-7237-494b-abeb-0bb8dbfc37a9,CCDEFAULT.BlockOutboundMailIPv6,DROP,TCP,ANY,ANY,25,true,ffb802d7-2d51-40cc-94e6-f71aac5b62d1,NA9,DEFAULT_RULE
3fce94ce-7237-494b-abeb-0bb8dbfc37a9,CCDEFAULT.BlockOutboundMailIPv6Secure,DROP,TCP,ANY,ANY,587,true,f02eb14d-4768-4e81-99e5-9abfcc34d326,NA9,DEFAULT_RULE
3fce94ce-7237-494b-abeb-0bb8dbfc37a9,CCDEFAULT.DenyExternalInboundIPv6,DROP,IP,EXTERNAL_IPV6,ANY,NULL,true,4a70b62b-539f-42c2-ac3d-b5fb8e92d136,NA9,DEFAULT_RULE
396dbe06-02f3-4649-8e6f-66cee0c68138,CCDEFAULT.BlockOutboundMailIPv4,DROP,TCP,ANY,ANY,25,true,c3f9d4d0-5b59-491d-b801-7f132df1e696,NA9,DEFAULT_RULE
396dbe06-02f3-4649-8e6f-66cee0c68138,CCDEFAULT.BlockOutboundMailIPv4Secure,DROP,TCP,ANY,ANY,587,true,2dec7579-db8a-4a47-9669-2804b509a4b8,NA9,DEFAULT_RULE
396dbe06-02f3-4649-8e6f-66cee0c68138,CCDEFAULT.BlockOutboundMailIPv6,DROP,TCP,ANY,ANY,25,true,724b2021-a086-44ad-932e-71430b1c48c3,NA9,DEFAULT_RULE
396dbe06-02f3-4649-8e6f-66cee0c68138,CCDEFAULT.BlockOutboundMailIPv6Secure,DROP,TCP,ANY,ANY,587,true,5d797138-1655-410c-80c3-0e5afb74d724,NA9,DEFAULT_RULE
396dbe06-02f3-4649-8e6f-66cee0c68138,CCDEFAULT.DenyExternalInboundIPv6,DROP,IP,EXTERNAL_IPV6,ANY,NULL,true,04261e2d-ae77-4706-8c68-218ca6519a10,NA9,DEFAULT_RULE
11b87069-4958-4d7b-b0b2-1520f731e01f,CCDEFAULT.BlockOutboundMailIPv4,DROP,TCP,ANY,ANY,25,true,99a46049-9fab-471d-8de1-95e9d4d545c8,NA9,DEFAULT_RULE
11b87069-4958-4d7b-b0b2-1520f731e01f,CCDEFAULT.BlockOutboundMailIPv4Secure,DROP,TCP,ANY,ANY,587,true,da36dbf7-dbab-40f5-93b0-fd85f38ff78f,NA9,DEFAULT_RULE
