networkDomainId,internalIp,externalIp,id,datacenterId,baseIp
3ebc07de-4bac-4ccd-990e-275a32c9b4fd,172.16.50.11,168.128.4.138,87ff9121-9354-4323-ba44-65f8eef8f3b0,NA9,168.128.4.138
e7630d6b-4de4-4f9a-aaba-7f057f2aeb20,10.0.0.11,168.128.4.116,c28481e3-d507-42a9-aeb7-401e055ae6b4,NA9,168.128.4.116
a48fd2f8-bb3c-4200-85ba-20d19421f199,10.0.0.13,168.128.4.239,77417c41-0bc8-49fd-90ba-3b07eb35ad9c,NA9,168.128.4.238
7ccd6987-4338-48f4-826e-c43ada2657ca,10.0.0.11,168.128.4.176,f607970d-a912-41ad-b011-732252e87661,NA9,168.128.4.176
dfcdb573-c54f-445d-86cd-43bf913b37d3,172.16.0.10,168.128.5.142,1b81f197-6551-4b2f-a5e3-0b2c1815f119,NA9,168.128.5.142
8b914f97-80db-4e57-83bf-ff593a41d233,10.1.1.11,168.128.28.0,f993c450-807d-4f5a-bcf4-2608dc0626a4,NA12,168.128.28.0
633ff927-e29b-41f2-afa0-c3ad797e05ff,10.0.0.11,168.128.4.175,cd2ba514-dc6c-4f7d-84b2-5eed15241f3b,NA9,168.128.4.174
c5e83e01-d7e3-4357-8725-1f7183f0ae70,10.0.0.8,168.128.28.177,9cf923fa-52b0-408b-a133-c830a2e11848,NA12,168.128.28.176
c5e83e01-d7e3-4357-8725-1f7183f0ae70,172.16.0.8,168.128.28.195,bb18d980-c3e6-4d28-ab56-3f7495018f33,NA12,168.128.28.194
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,10.0.0.10,168.128.28.15,08c15c12-b0d2-4ee3-8fbd-61f33e2e810a,NA12,168.128.28.14
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,10.0.0.11,168.128.28.126,cd5b5772-a0a7-42e9-b4ca-0b349511a717,NA12,168.128.28.126
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,10.0.0.12,168.128.28.132,97962de4-45dd-4ce1-b046-59edf6d6e3ca,NA12,168.128.28.132
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,10.0.0.14,168.128.28.158,52a24e1d-716f-4a3f-a001-072f82c7b77a,NA12,168.128.28.158
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,10.0.0.15,168.128.28.168,16dca256-1070-4f6b-b482-f3b9394c0e53,NA12,168.128.28.168
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,10.0.0.17,168.128.28.159,60446581-427b-436c-af9b-11d012c56019,NA12,168.128.28.158
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,10.0.0.18,168.128.28.133,9f2a4e40-446f-412d-b5ba-5664d18bfec1,NA12,168.128.28.132
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,10.0.0.8,168.128.28.14,a1ed6ee7-174e-4ea0-80d9-72622a8d367f,NA12,168.128.28.14
b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,172.16.0.12,168.128.28.169,75817674-556f-4425-99d2-2cb992511bb2,NA12,168.128.28.168
006ea1be-6746-4e3f-abae-5270594e6bf3,172.16.0.11,168.128.4.196,2111699e-5ef9-4e10-9ab0-a4853d7ee5e0,NA9,168.128.4.196
cac425da-a92e-4f1b-81b9-d250b617717c,10.8.0.108,168.128.4.62,25b95c11-6253-4850-a863-9820895e327d,NA9,168.128.4.62
