name,type,id,datacenterId
JBs First Domain Deployment,ESSENTIALS,e3b5c08a-a74e-41c2-b6a8-186cbaa86299,NA9
Ben's Network Domain,ADVANCED,2709df9f-d07e-4627-8042-e4cfa316a963,NA9
Cisco Network Domain,ESSENTIALS,3fce94ce-7237-494b-abeb-0bb8dbfc37a9,NA9
Greg's First Network Domain,ADVANCED,11b87069-4958-4d7b-b0b2-1520f731e01f,NA9
deenesh test - can delete,ESSENTIALS,396dbe06-02f3-4649-8e6f-66cee0c68138,NA9
John-Test,ESSENTIALS,e7630d6b-4de4-4f9a-aaba-7f057f2aeb20,NA9
TEST AV,ESSENTIALS,b1e72abb-b57b-496f-afaf-2022d7b151db,NA9
My Demo Domain,ESSENTIALS,2680394d-c641-49ca-a471-2add57a8f395,NA9
Troy Indaba Network Domain,ESSENTIALS,3ebc07de-4bac-4ccd-990e-275a32c9b4fd,NA9
EMC test,ESSENTIALS,53206c98-dd27-4f86-8b3d-34b8679e1e09,NA9
Josh's Network,ESSENTIALS,7ccd6987-4338-48f4-826e-c43ada2657ca,NA9
Demo,ESSENTIALS,ce4473dd-1ae9-4df9-9b2a-5dde55fa4cdf,NA9
KC Hadoop,ESSENTIALS,b6c2afb2-07a9-4d9e-a118-b0c949a1e8f5,NA9
InterSystems Demo,ADVANCED,633ff927-e29b-41f2-afa0-c3ad797e05ff,NA9
Demotest,ESSENTIALS,88b0a9eb-5e5e-4e89-924a-178357a32c56,NA9
RJax_Domain,ADVANCED,006ea1be-6746-4e3f-abae-5270594e6bf3,NA9
Do Not Delete!  Dave Edwards Demo Network Domain for SAP HANA,ADVANCED,f4937b8f-6ce9-4138-a270-18e5dd8e3a23,NA9
Brantley's Test Domain,ADVANCED,2be9104d-ce19-4634-bd11-d6173eaae18f,NA9
Joe A,ADVANCED,a48fd2f8-bb3c-4200-85ba-20d19421f199,NA9
Demo Network,ADVANCED,8b914f97-80db-4e57-83bf-ff593a41d233,NA12
David K Demo Domain,ADVANCED,def84afc-f9c9-49e7-aa9a-1b3d91b4fbdf,NA12
DavidK Demo Domain,ADVANCED,cac425da-a92e-4f1b-81b9-d250b617717c,NA9
Ben Network,ADVANCED,12d0ad18-1596-4e36-8dda-75735aef4f33,NA12
AndrewDas Network Domain,ADVANCED,b0bebfcb-3d8d-4d39-99bd-71bed8ea026d,NA12
DDMX - test enviroment,ESSENTIALS,88da540d-346a-4f98-9ee2-0c0d29cce370,NA12
Do Not Delete!  Dave Edwards Demo Network Domain for SAP HANA,ADVANCED,2ac1ac19-4e98-4d83-a56b-16e866056f49,NA12
FY16 - Sales Kickoff,ESSENTIALS,10ab4770-abcb-4052-8940-1b1ca5941f38,NA9
CES,ADVANCED,4ba393b5-6f43-41df-a461-54b3304ed00f,NA9
Ho1a, test network,ESSENTIALS,5a16cfe3-d01e-455b-8a5e-b6eeb52ef9ee,NA9
HW Demo Network Domain,ADVANCED,c6c2888b-3ad8-4b70-8a90-c9a93237588b,NA12
delete network,ADVANCED,c5e83e01-d7e3-4357-8725-1f7183f0ae70,NA12
DemoDomain123,ADVANCED,cadad1eb-a30e-41f0-9623-b8d056b39be2,NA9
NewDomain100,ADVANCED,39bc2031-f67a-4800-841d-ff7c6f26237f,NA9
Rodrigo's Network,ADVANCED,dfcdb573-c54f-445d-86cd-43bf913b37d3,NA9
Ankit,ADVANCED,6f5ea54b-e198-4d17-984c-df4d5eb66272,NA9
SAP COE,ADVANCED,38df496a-3494-4b15-a977-c5301a5c57e3,NA9
TestNet,ADVANCED,cecdaa9c-cbd2-4b67-92bc-fe7315df624c,NA12
