name,description,timestamp,operatingSystem.id,operatingSystem.displayName,cpuCount,memoryGb,disk.sizeGb,disk.speed,networkInfo.primaryNic.id,networkInfo.primaryNic.vlanId,networkInfo.primaryNic.privateIpv4,networkInfo.networkDomainId,sourceImageId,id,datacenterId
oem12c-fs,,2015-11-17T19:39:07.046Z,WIN2012R2DC64,WIN2012R2DC/64,2,4,NULL,NULL,NULL,NULL,NULL,NULL,a5bdc95d-70fa-47bd-a870-375c99018e8d,eb222a4a-fffd-4e4a-8346-1279ef621ab0,NA3
JB TEST Server,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,ef62e464-8047-4914-9892-d2806fce165e,526a4ac4-a7d4-45ed-8da4-4a5076b3d1ee,10.0.0.11,e3b5c08a-a74e-41c2-b6a8-186cbaa86299,f78da8fa-986b-4c98-8f87-dc3c2f9e5987,3d957239-963d-4781-a8dc-0127e0e8028d,NA9
Jordan 2nd Test Server,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,85d19b90-d3cd-4e74-a81f-a1b1d3149620,126a9a9f-451f-4313-ad7a-052a286e5225,10.0.1.11,e3b5c08a-a74e-41c2-b6a8-186cbaa86299,f78da8fa-986b-4c98-8f87-dc3c2f9e5987,6d82db18-4262-4f24-9c33-9ff6cc482079,NA9
Ben-Web-1,,2015-11-17T19:39:07.046Z,UBUNTU1264,UBUNTU12/64,4,4,NULL,NULL,a08aa83d-18b8-4caf-8422-02b7766b5862,ad7d2a88-901e-4d35-baf6-117d7f715309,10.1.1.11,2709df9f-d07e-4627-8042-e4cfa316a963,653afa6a-e47d-4483-8312-53618dc26666,3fe186f7-0523-450e-867d-f138db7db6fc,NA9
Ubuntu Demo,Delete Anytime,2015-11-17T19:39:07.046Z,UBUNTU1064,UBUNTU10/64,2,4,NULL,NULL,c3eed5c6-4a99-4238-98ab-e3a4691598da,59c0a00d-6362-467e-8f57-2f81e0b85561,10.22.11.11,3fce94ce-7237-494b-abeb-0bb8dbfc37a9,57b06b87-9f37-41ad-a2a3-258fa7f015c3,b0cf43f4-99eb-435a-b4fe-807fbdae50b1,NA9
demo01,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,4a76b3db-e163-4a0b-85fb-5be2f2b6aa67,04a5f4f6-546b-4bd0-b549-80dfc7d1870d,10.0.99.11,11b87069-4958-4d7b-b0b2-1520f731e01f,8bc629a9-8d71-4b1b-8b26-acdc077edab1,836be83c-e293-4d65-bdd7-0a94290e9b3f,NA9
Server A,,2015-11-17T19:39:07.046Z,WIN2012S64,WIN2012S/64,2,4,NULL,NULL,a2d17db9-bfa1-4fdf-98bd-f6ec21eab235,2bc6210e-ee34-4f90-bcf1-f3d9df0dc476,10.0.0.11,e7630d6b-4de4-4f9a-aaba-7f057f2aeb20,1cdfee63-9e40-40f2-98e5-a46e9bfd742c,9912b65e-5409-4dc6-93f3-e7891282df8e,NA9
Win2012-1,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,97010dbb-c353-4963-9565-06176d6c3bb2,cf48588a-593d-4309-a723-45727d284818,10.10.10.11,b1e72abb-b57b-496f-afaf-2022d7b151db,8bc629a9-8d71-4b1b-8b26-acdc077edab1,f7a7a6f4-dd48-4fbf-ad6b-2292aefbe440,NA9
Win2008,,2015-11-17T19:39:07.046Z,WIN2008S64,WIN2008S/64,2,4,NULL,NULL,b12c4ae8-5030-4ee9-a02e-17652ae675ab,137de445-d39f-4fde-9716-de417bc669d9,10.11.11.12,b1e72abb-b57b-496f-afaf-2022d7b151db,feecba3f-b3ca-4473-99aa-8396f7d69721,849d8936-03a0-4edf-a5ca-105e3069be97,NA9
Development Server,Delete Anytime,2015-11-17T19:39:07.046Z,WIN2012R2DC64,WIN2012R2DC/64,2,4,NULL,NULL,779b7734-41b7-4dbc-b44e-536509815c7f,c03ad8f0-3d55-4ca3-b688-0e79071d5db5,10.1.8.11,2709df9f-d07e-4627-8042-e4cfa316a963,606321d3-53e3-4a56-a2c5-31144a39bdfa,4ad285b1-c658-4ed0-b9e8-42bf2534ab65,NA9
gc12c-fs,Oracle Grid Control 12c,2015-11-17T19:39:07.046Z,WIN2008S64,WIN2008S/64,4,6,NULL,NULL,NULL,NULL,NULL,NULL,66128be8-df04-11e2-b29c-001517c4643e,de430f7d-8c3d-444b-80a4-6523bef3665c,NA3
Oricatest,,2015-11-17T19:39:07.046Z,CENTOS664,CENTOS6/64,2,4,NULL,NULL,ed7f65b1-1771-4207-b147-dfe7259c8872,f210cb73-18f2-4a70-98a9-dab993b43ce5,172.16.50.11,3ebc07de-4bac-4ccd-990e-275a32c9b4fd,dc4f5eac-841c-4c51-8185-f15bfaaebf39,a02ecf6f-9e50-496d-9155-217f4670c411,NA9
Test 1,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,5d645fda-4a65-4b01-9d38-668ec6940cfe,9fad3925-b26e-4f45-af63-ae7b75273be4,10.0.0.11,ce4473dd-1ae9-4df9-9b2a-5dde55fa4cdf,f78da8fa-986b-4c98-8f87-dc3c2f9e5987,77da591d-b58e-43ef-8bc2-ddde3f732893,NA9
Application Server,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,4,8,NULL,NULL,480d221c-e141-4ce1-a53e-90c9467ca722,bb194d71-1d51-4140-bb61-f029bf08731b,10.0.1.11,7ccd6987-4338-48f4-826e-c43ada2657ca,888efb5a-2d62-4de5-8136-c5a6479e3958,59ab6954-4fba-4b2e-a5e5-c0c66d856b4d,NA9
Data Base,,2015-11-17T19:39:07.046Z,WIN2012DC64,WIN2012DC/64,4,8,NULL,NULL,9b3899b5-59c9-4e59-9c04-e124c703e4c9,0c2ecca9-d2cf-4f8d-9f4b-829c81093d35,10.0.2.11,7ccd6987-4338-48f4-826e-c43ada2657ca,0a4dcf84-8281-4988-b452-97b254173ae8,093e05df-b366-422f-bdac-78a032af37ef,NA9
Web Server,Web Server,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,8,256,NULL,NULL,4ae558c5-8ec2-483c-bc36-233b281f0019,a109d5f5-1368-478b-95f4-f710bf81391a,10.0.0.11,7ccd6987-4338-48f4-826e-c43ada2657ca,f78da8fa-986b-4c98-8f87-dc3c2f9e5987,6a4f16d1-025d-4d3a-89bd-e29cef4b4861,NA9
gc12c-2,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,NULL,NULL,NULL,NULL,00c56d62-e282-4ec5-83f9-5f3ded3688c9,26143530-7c39-4de3-b7f4-88a896798029,NA3
gc12c-3,,2015-11-17T19:39:07.046Z,WIN2008R2E64,WIN2008R2E/64,4,12,NULL,NULL,NULL,NULL,NULL,NULL,66059db6-df04-11e2-b29c-001517c4643e,c18b854a-c48b-4597-8178-603c2a2f4b93,NA3
RJ2008,RDP Server,2015-11-17T19:39:07.046Z,WIN2008S64,WIN2008S/64,2,4,NULL,NULL,c3614c7d-867c-43cb-948e-5eb60cc4bd81,eb32dbcc-e440-4356-8ce8-03f23dca53db,172.16.0.11,006ea1be-6746-4e3f-abae-5270594e6bf3,feecba3f-b3ca-4473-99aa-8396f7d69721,5963f64e-9b96-470b-b873-b030247d3ece,NA9
Cisco Live Demo Server,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,4,12,NULL,NULL,698c0152-88b0-45fc-897d-68bb930b19a3,9fad3925-b26e-4f45-af63-ae7b75273be4,10.0.0.12,ce4473dd-1ae9-4df9-9b2a-5dde55fa4cdf,7cb6b73b-c2f0-4634-adfc-5e120471dd57,d92ec5d1-9b62-4abb-baeb-2f107a60fb83,NA9
TestUbuntu,,2015-11-17T19:39:07.046Z,UBUNTU1464,UBUNTU14/64,2,4,NULL,NULL,fe74536c-398c-44d8-a977-a7acf8465233,38237e6e-8853-4646-a6c3-ad2e4d4aec76,10.2.2.11,2be9104d-ce19-4634-bd11-d6173eaae18f,4c02126c-32fc-4b4c-9466-9824c1b5aa0f,cd3551a5-d75b-46f3-96db-5281ac328427,NA9
Snort,,2015-11-17T19:39:07.046Z,UBUNTU1464,UBUNTU14/64,2,4,NULL,NULL,4ae94104-3f38-41aa-9908-df6307e1ee60,d2604aba-6f3c-4384-bfe6-0d86508ae06c,10.0.0.13,a48fd2f8-bb3c-4200-85ba-20d19421f199,4c02126c-32fc-4b4c-9466-9824c1b5aa0f,63113cb1-a711-410c-b2e3-73e2bb44a53b,NA9
LInux2,dest linux,2015-11-17T19:39:07.046Z,UBUNTU1264,UBUNTU12/64,2,4,NULL,NULL,9aafbd15-2683-409c-91a9-fe9d992f61a0,3bb956f0-d5b8-4e2b-bd7c-e6709c6a2c8f,172.16.0.12,a48fd2f8-bb3c-4200-85ba-20d19421f199,653afa6a-e47d-4483-8312-53618dc26666,100e45cd-b8ba-42c6-af03-a39ba5ccc364,NA9
Server B,Server B,2015-11-17T19:39:07.046Z,WIN2008S64,WIN2008S/64,4,8,NULL,NULL,becdd637-6f5a-406b-b17a-2dfd1fa9a8d1,2bc6210e-ee34-4f90-bcf1-f3d9df0dc476,10.0.0.12,e7630d6b-4de4-4f9a-aaba-7f057f2aeb20,feecba3f-b3ca-4473-99aa-8396f7d69721,1519ea62-14b1-497c-8418-459668284617,NA9
ECC PROD,,2015-11-17T19:39:07.046Z,WIN2008R2E64,WIN2008R2E/64,8,32,NULL,NULL,NULL,NULL,NULL,NULL,5f50fd7f-2db4-4701-8cf0-829e81998d91,662e6e0d-c3e6-47d0-99e6-8ba8a161314b,NA3
Demo Server - Linux,,2015-11-17T19:39:07.046Z,CENTOS664,CENTOS6/64,2,4,NULL,NULL,20967388-492b-4bea-8bea-95678ae421b9,50c829b3-1493-49b3-a42c-ed4a542045b1,10.1.1.11,8b914f97-80db-4e57-83bf-ff593a41d233,5d2fa040-bac3-40b8-9de9-005cf94d5f1c,b64f9ab8-735f-43a1-acee-1c8f3e85d324,NA12
Test01,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,628dc6b6-f98d-47bc-ac9c-df6303571a97,02e6eb57-4b50-4b74-a959-c1fe26c5b269,10.0.8.11,def84afc-f9c9-49e7-aa9a-1b3d91b4fbdf,a4a9e831-1d0d-4d55-a772-9f490e11955e,58bd2466-f465-499c-a10d-d2236e434343,NA12
Test02,,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,2,4,NULL,NULL,57050bf9-7a54-4e4d-8e6e-d94780b6b61e,02e6eb57-4b50-4b74-a959-c1fe26c5b269,10.0.8.12,def84afc-f9c9-49e7-aa9a-1b3d91b4fbdf,a4a9e831-1d0d-4d55-a772-9f490e11955e,201f9169-5c38-4162-8b07-72e78bfb5e14,NA12
Demo Server - Windows 2k12,,2015-11-17T19:39:07.046Z,WIN2012R2S64,WIN2012R2S/64,2,4,NULL,NULL,acdfa15f-8906-4d9f-a27c-5db163f23408,50c829b3-1493-49b3-a42c-ed4a542045b1,10.1.1.12,8b914f97-80db-4e57-83bf-ff593a41d233,fa24ce11-1a1a-44a4-b7ce-a61ddc314d54,67271785-d19e-4be7-b104-91508ba48995,NA12
Server C,,2015-11-17T19:39:07.046Z,WIN2008R2DC64,WIN2008R2DC/64,2,4,NULL,NULL,f58eb2b8-6380-4f52-a1be-baf4bd83d2ff,2bc6210e-ee34-4f90-bcf1-f3d9df0dc476,10.0.0.13,e7630d6b-4de4-4f9a-aaba-7f057f2aeb20,3c21d3f2-23e4-40e6-9d57-5b43d2f5330f,6ca63382-fe48-4ea6-8145-7b97f5a63bcb,NA9
BaaS_Demo_Source_NA9,,2015-11-17T19:39:07.046Z,WIN2008R2S64,WIN2008R2S/64,2,4,NULL,NULL,b4bf7fbf-67fc-4e6a-a37c-d941da4c072e,5ba65192-f376-44c5-ab59-c4de44569992,10.1.2.11,2709df9f-d07e-4627-8042-e4cfa316a963,8088eaf2-7781-4eeb-a508-0572af8b4352,54a3a826-ccf6-49f9-9b71-076f9e5e8090,NA9
DEMO_HANAPROD,SAP HANA Production Demo\n30 cores x 128GB RAM,2015-11-17T19:39:07.046Z,SLES1164,SUSE11/64,2,4,NULL,NULL,NULL,NULL,NULL,NULL,723958e3-8b3a-46ec-bcf5-90fa482fbb5f,8c09f542-d5e9-44ea-bf69-42d1346c02a6,NA3
DEMO_SAP_HANA_PROD,SAP HANA SPS9\n30vCPUs x 128GB RAM,2015-11-17T19:39:07.046Z,REDHAT664,REDHAT6/64,30,128,NULL,NULL,9b4dd26f-7641-49f1-a830-840db297d69f,d3db8d9c-0d81-4ca2-8db2-ed4a28777e9e,10.0.0.11,f4937b8f-6ce9-4138-a270-18e5dd8e3a23,f78da8fa-986b-4c98-8f87-dc3c2f9e5987,6505fe24-5221-4e39-96a0-6d55e85f334e,NA9
DEMO_ECC_App,ECC 6.0 EHP8 Application Server\n2vCPU x 24GB RAM,2015-11-17T19:39:07.046Z,WIN2012R2DC64,WIN2012R2DC/64,2,24,NULL,NULL,b72933c4-b3dc-4d3a-b033-5c94d3cbf6a1,d3db8d9c-0d81-4ca2-8db2-ed4a28777e9e,10.0.0.12,f4937b8f-6ce9-4138-a270-18e5dd8e3a23,606321d3-53e3-4a56-a2c5-31144a39bdfa,681b9ad8-2045-43b0-a10a-d7458de3995b,NA9
DEMO_SBOP-DataServices,SAP SBOP BI 4.1 + Data Services 4.1\n2vCPU x 32GB RAM,2015-11-17T19:39:07.046Z,WIN2012R2DC64,WIN2012R2DC/64,2,32,NULL,NULL,f09a0374-678c-4661-ad8c-4d614c3f55b3,d3db8d9c-0d81-4ca2-8db2-ed4a28777e9e,10.0.0.14,f4937b8f-6ce9-4138-a270-18e5dd8e3a23,606321d3-53e3-4a56-a2c5-31144a39bdfa,70a212a8-7a3c-4934-8957-f77d1b38e6cf,NA9
