networkDomain.id,networkDomain.name,name,id,datacenterId
e3b5c08a-a74e-41c2-b6a8-186cbaa86299,JBs First Domain Deployment,JB's First VLAN,526a4ac4-a7d4-45ed-8da4-4a5076b3d1ee,NA9
e3b5c08a-a74e-41c2-b6a8-186cbaa86299,JBs First Domain Deployment,JB 2nd VLAN,126a9a9f-451f-4313-ad7a-052a286e5225,NA9
2709df9f-d07e-4627-8042-e4cfa316a963,Ben's Network Domain,DMZ Network,ad7d2a88-901e-4d35-baf6-117d7f715309,NA9
3fce94ce-7237-494b-abeb-0bb8dbfc37a9,Cisco Network Domain,Web DMZ VLAN,59c0a00d-6362-467e-8f57-2f81e0b85561,NA9
11b87069-4958-4d7b-b0b2-1520f731e01f,Greg's First Network Domain,demoVLAN01,04a5f4f6-546b-4bd0-b549-80dfc7d1870d,NA9
e7630d6b-4de4-4f9a-aaba-7f057f2aeb20,John-Test,VLAN 1,2bc6210e-ee34-4f90-bcf1-f3d9df0dc476,NA9
b1e72abb-b57b-496f-afaf-2022d7b151db,TEST AV,Main VLAN,cf48588a-593d-4309-a723-45727d284818,NA9
b1e72abb-b57b-496f-afaf-2022d7b151db,TEST AV,BackEnd,137de445-d39f-4fde-9716-de417bc669d9,NA9
2709df9f-d07e-4627-8042-e4cfa316a963,Ben's Network Domain,Development VLAN,c03ad8f0-3d55-4ca3-b688-0e79071d5db5,NA9
2680394d-c641-49ca-a471-2add57a8f395,My Demo Domain,Server 1,dfed7bd5-7d12-443f-867b-7a31d0cf5eef,NA9
3ebc07de-4bac-4ccd-990e-275a32c9b4fd,Troy Indaba Network Domain,VLAN1,f210cb73-18f2-4a70-98a9-dab993b43ce5,NA9
3ebc07de-4bac-4ccd-990e-275a32c9b4fd,Troy Indaba Network Domain,Test2,50fe4522-6b11-4ac5-9f3f-b35489aa40cd,NA9
53206c98-dd27-4f86-8b3d-34b8679e1e09,EMC test,DiData_EMCWorld,f886ab5d-6b95-4121-9f32-4ac8a02a559c,NA9
53206c98-dd27-4f86-8b3d-34b8679e1e09,EMC test,tesint32,f2cc6ced-b1b4-44b6-945b-edf87b83aa3d,NA9
7ccd6987-4338-48f4-826e-c43ada2657ca,Josh's Network,VLAN #1,a109d5f5-1368-478b-95f4-f710bf81391a,NA9
ce4473dd-1ae9-4df9-9b2a-5dde55fa4cdf,Demo,Test,9fad3925-b26e-4f45-af63-ae7b75273be4,NA9
2709df9f-d07e-4627-8042-e4cfa316a963,Ben's Network Domain,Web DMZ,5ba65192-f376-44c5-ab59-c4de44569992,NA9
7ccd6987-4338-48f4-826e-c43ada2657ca,Josh's Network,VLAN #2,bb194d71-1d51-4140-bb61-f029bf08731b,NA9
7ccd6987-4338-48f4-826e-c43ada2657ca,Josh's Network,VLAN #3,0c2ecca9-d2cf-4f8d-9f4b-829c81093d35,NA9
2709df9f-d07e-4627-8042-e4cfa316a963,Ben's Network Domain,Ben123,287e464e-dd92-4792-ad20-30806de28ae2,NA9
e7630d6b-4de4-4f9a-aaba-7f057f2aeb20,John-Test,VLAN 300,24079ff5-7552-4d05-a6af-317f9b2917b6,NA9
b6c2afb2-07a9-4d9e-a118-b0c949a1e8f5,KC Hadoop,KCVLAN1,bf128a09-097a-46db-966e-620aa3deb55d,NA9
006ea1be-6746-4e3f-abae-5270594e6bf3,RJax_Domain,DMZ,eb32dbcc-e440-4356-8ce8-03f23dca53db,NA9
ce4473dd-1ae9-4df9-9b2a-5dde55fa4cdf,Demo,CL2015 Demo,4521c0e3-f638-4ce0-8cc6-ccc4b36cb812,NA9
f4937b8f-6ce9-4138-a270-18e5dd8e3a23,Do Not Delete!  Dave Edwards Demo Network Domain for SAP HANA,VLAN-Prod,d3db8d9c-0d81-4ca2-8db2-ed4a28777e9e,NA9
2be9104d-ce19-4634-bd11-d6173eaae18f,Brantley's Test Domain,TestVLAN,38237e6e-8853-4646-a6c3-ad2e4d4aec76,NA9
